,Company,TypeName,Inches,CpuS,Ram,Memorytype,Memory,Gpu,Weight,Cpu,Price
37,Dell,Notebook,17.3,1.6,8,SSD,128,AMD Radeon 530,2.8,i5,979.0
38,HP,Notebook,15.6,2.5,4,HDD,1000,Intel HD Graphics 620,1.86,i5,488.69
39,HP,Notebook,15.6,1.6,8,SSD,256,Nvidia GeForce 930MX,2.1,i5,879.0
40,Asus,Notebook,15.6,2.0,4,HDD,1000,Intel HD Graphics 620,2,i3,389.0
41,Dell,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1060,2.65,i7,1499.0
42,Asus,Notebook,15.6,2.5,8,HDD,1000,Nvidia GeForce 940MX,2.3,i5,522.99
43,Acer,Notebook,15.6,1.6,4,SSD,256,Intel UHD Graphics 620,2.2,i5,682.0
44,Dell,2 in 1 Convertible,17.3,1.6,12,HDD,1000,Nvidia GeForce 150MX,2.77,i5,999.0
45,Apple,Ultrabook,13.3,2.0,8,SSD,256,Intel Iris Graphics 540,1.37,i5,1419.0
46,Lenovo,Notebook,15.6,2.0,4,SSD,128,Intel HD Graphics 520,2.2,i3,369.0
47,Asus,Gaming,17.3,3.0,8,SSD,256,AMD Radeon RX 580,3.2,i7,1299.0
48,Dell,Notebook,15.6,2.5,4,SSD,256,AMD Radeon R5 M430,2.3,i5,639.0
49,Asus,Notebook,17.3,1.1,4,HDD,1000,Nvidia GeForce 920MX,2.8,Quad Core,466.0
50,Lenovo,2 in 1 Convertible,10.1,1.44,4,Flash Storage,64,Intel HD Graphics 400,0.69,x5-Z8550,319.0
51,Acer,Notebook,15.6,1.8,8,SSD,256,Nvidia GeForce MX150,2.2,i7,841.0
52,HP,Notebook,15.6,2.5,4,SSD,256,AMD Radeon R4,1.86,9220,398.49
53,HP,Notebook,13.3,1.8,8,SSD,512,Intel UHD Graphics 620,1.49,i7,1103.0
54,Acer,Notebook,15.6,2.4,4,HDD,1000,Intel HD Graphics 620,2.4,i3,384.0
55,Dell,Notebook,15.6,1.8,8,SSD,256,AMD Radeon 520,2.13,i7,767.8
56,HP,Notebook,15.6,2.0,4,SSD,128,Intel HD Graphics 520,1.91,i3,439.0
57,Asus,Notebook,15.6,2.5,4,SSD,256,Intel HD Graphics 620,2,i5,586.19
58,MSI,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1070,2.43,i7,2449.0
59,Asus,Notebook,15.6,2.0,4,SSD,256,Intel HD Graphics 520,2,i3,415.0
60,Dell,Notebook,17.3,1.8,16,SSD,256,AMD Radeon 530,2.8,i7,1299.0
61,Dell,Ultrabook,14.0,1.6,8,SSD,256,Intel UHD Graphics 620,1.7,i5,879.0
62,Lenovo,Notebook,14.0,2.7,8,SSD,256,Intel HD Graphics 620,1.7,i3,599.0
63,Asus,Notebook,14.0,1.6,8,SSD,256,Intel UHD Graphics 620,1.4,i5,941.0
64,HP,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,1.86,i5,690.0
65,Asus,Ultrabook,15.6,2.8,16,SSD,512,Nvidia GeForce GTX 1050Ti,1.8,i7,1983.0
66,HP,Notebook,15.6,2.0,4,HDD,500,AMD Radeon 520,1.86,i3,438.69
67,HP,Notebook,14.0,1.6,4,SSD,32,Intel HD Graphics 400,1.44,Dual Core,229.0
68,Lenovo,Notebook,15.6,2.5,4,HDD,1000,Intel HD Graphics 620,1.9,i5,549.0
69,Asus,Gaming,17.3,2.8,12,HDD,1000,Nvidia GeForce GTX 1050Ti,3,i7,949.0
70,Microsoft,Ultrabook,13.5,2.5,4,SSD,128,Intel HD Graphics 620,1.252,i5,1089.0
71,Dell,Ultrabook,13.3,1.8,8,SSD,256,AMD Radeon 530,1.4,i7,955.0
72,Dell,Notebook,15.6,1.8,8,SSD,256,AMD Radeon 530,2.2,i7,870.0
73,MSI,Gaming,17.3,2.5,8,SSD,128,Nvidia GeForce GTX 1050,2.7,i5,1095.0
74,Acer,Notebook,14.0,2.0,8,HDD,1000,Intel HD Graphics 520,2.1,i3,389.0
75,Asus,Gaming,15.6,2.8,8,HDD,1000,Nvidia GeForce GTX 1050,2.2,i7,949.0
76,Lenovo,Notebook,15.6,2.5,8,HDD,2000,Intel HD Graphics 620,2.2,i5,519.0
77,Dell,Notebook,15.6,1.8,8,SSD,128,Intel UHD Graphics 620,2.02,i7,855.0
78,Acer,Notebook,15.6,2.7,4,HDD,1000,Nvidia GeForce MX130,2.2,i3,530.0
79,HP,Notebook,17.3,1.6,8,SSD,128,Nvidia GeForce 930MX,2.5,i5,977.0
80,Dell,Ultrabook,15.6,1.6,8,SSD,256,Intel UHD Graphics 620,1.88,i5,1096.16
81,Apple,Ultrabook,12.0,1.3,8,SSD,512,Intel HD Graphics 615,0.92,i5,1510.0
82,HP,Notebook,14.0,1.6,8,SSD,256,Intel HD Graphics 620,1.63,i5,860.0
83,Lenovo,Notebook,15.6,2.5,4,SSD,128,AMD R4 Graphics,2.2,9220,399.0
84,Acer,Notebook,15.6,3.0,4,HDD,1000,AMD Radeon R5,2.1,9420,395.0
85,Dell,Gaming,15.6,2.8,16,SSD,128,Nvidia GeForce GTX 1050Ti,2.65,i7,1349.0
86,HP,Ultrabook,15.6,1.8,8,SSD,256,Nvidia GeForce GTX 940MX,1.83,i7,699.0
87,HP,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,1.96,i5,598.99
88,Asus,Gaming,15.6,2.8,16,SSD,128,Nvidia GeForce GTX 1060,2.2,i7,1449.0
89,Dell,Ultrabook,13.3,1.8,8,SSD,256,Intel UHD Graphics 620,1.21,i7,1649.0
90,Asus,Gaming,15.6,3.0,8,HDD,1000,AMD Radeon RX 560,2.45,9830P,699.0
91,Acer,Notebook,15.6,1.8,8,HDD,1000,Nvidia GeForce MX150,2.2,i7,689.0
92,HP,Notebook,13.3,1.8,16,SSD,512,Intel UHD Graphics 620,1.49,i7,1197.0
93,Dell,Gaming,15.6,2.5,8,SSD,256,Nvidia GeForce GTX 1060,2.65,i5,1195.0
94,Asus,Ultrabook,14.0,2.7,8,SSD,256,Intel HD Graphics 620,1.25,i7,1049.0
95,Acer,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.5,i5,847.0
96,Dell,Notebook,15.6,2.7,8,HDD,1000,AMD Radeon R5 M430,2.2,i7,599.9
97,Dell,Notebook,15.6,2.0,4,SSD,256,AMD Radeon R5 M430,2.2,i3,485.0
98,Asus,Notebook,15.6,2.4,6,SSD,256,Nvidia GeForce 920M,2,i3,577.0
99,HP,Gaming,15.6,2.8,12,SSD,128,Nvidia GeForce GTX 1050,2.62,i7,1249.0
100,HP,Notebook,15.6,2.7,8,SSD,256,AMD Radeon 530,1.91,i7,719.0
101,HP,Notebook,15.6,1.5,4,HDD,500,AMD Radeon R2,2.1,E2-9000e,349.0
102,Dell,Notebook,15.6,1.6,8,HDD,1000,AMD Radeon 520,2.2,i5,647.0
103,HP,Ultrabook,13.3,2.7,8,SSD,256,Nvidia GeForce MX150,1.38,i7,1119.0
104,Microsoft,Ultrabook,13.5,2.5,8,SSD,256,Intel HD Graphics 620,1.252,i5,1340.0
105,HP,Notebook,14.0,2.5,6,SSD,256,Nvidia GeForce 940MX,1.58,i5,659.0
106,Lenovo,Notebook,15.6,2.0,4,HDD,1000,Intel HD Graphics 520,1.85,i3,414.9
107,Asus,Ultrabook,14.0,2.7,8,SSD,256,Nvidia GeForce 940MX,1.3,i7,1193.0
108,MSI,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1050Ti,2.2,i7,1299.0
109,Lenovo,Notebook,14.0,2.7,8,SSD,256,Intel HD Graphics 620,1.58,i7,1480.0
110,Asus,Ultrabook,15.6,1.8,16,SSD,256,Nvidia GeForce MX150,1.5,i7,1262.0
111,Dell,Ultrabook,13.3,2.4,8,SSD,256,Intel Iris Plus Graphics 640,1.23,i7,1379.0
112,Lenovo,2 in 1 Convertible,13.3,2.5,8,SSD,256,Intel HD Graphics 620,1.37,i5,1399.0
113,HP,Notebook,14.0,1.6,4,HDD,500,Intel UHD Graphics 620,1.63,i5,722.0
114,Dell,Ultrabook,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.21,i5,1629.0
115,HP,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.26,i5,1398.99
116,HP,Notebook,14.0,1.8,8,SSD,512,Intel UHD Graphics 620,1.63,i7,1084.0
117,Dell,Notebook,15.6,1.8,8,SSD,256,Nvidia GeForce 940MX,2.16,i7,1130.33
118,Asus,Notebook,17.3,2.0,4,HDD,1000,Nvidia GeForce 920MX,2,i3,564.0
119,Asus,Notebook,15.6,1.8,8,SSD,256,Nvidia GeForce 940MX,1.7,i7,1118.0
120,Acer,Notebook,15.6,2.4,6,HDD,1000,Intel HD Graphics 620,2.1,i3,479.0
121,MSI,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1070,1.8,i7,2241.5
122,Lenovo,Notebook,15.6,2.5,8,SSD,256,Nvidia GeForce 940MX,2.2,i5,629.0
123,HP,Notebook,17.3,1.8,16,SSD,512,Nvidia GeForce 930MX,2.5,i7,1271.0
124,Acer,Notebook,15.6,3.0,4,SSD,256,AMD Radeon R5,2.1,9420,451.0
125,HP,Notebook,15.6,1.6,4,HDD,500,Intel HD Graphics 400,1.86,Dual Core,259.0
126,HP,Notebook,14.0,1.6,8,HDD,1000,Intel UHD Graphics 620,1.63,i5,812.0
127,Asus,Notebook,14.0,1.5,4,SSD,64,AMD Radeon R2,1.65,6110,277.99
128,Dell,Notebook,17.3,1.8,16,SSD,256,AMD Radeon 530,2.8,i7,1396.0
129,HP,Notebook,17.3,1.6,8,SSD,256,Intel UHD Graphics 620,2.5,i5,928.0
130,Dell,Notebook,15.6,2.5,8,HDD,1000,AMD Radeon R7 M445,2.36,i5,638.99
131,Dell,Notebook,15.6,2.0,4,HDD,1000,AMD Radeon R5 M430,2.2,i3,449.0
132,Acer,Ultrabook,14.0,1.8,8,SSD,256,Intel UHD Graphics 620,1.6,i7,884.0
133,Acer,Notebook,15.6,2.7,4,SSD,256,Nvidia GeForce MX130,2.2,i3,572.0
134,HP,Notebook,15.6,2.7,8,HDD,1000,Intel HD Graphics 620,2.05,i7,598.0
135,HP,Notebook,14.0,1.8,8,SSD,256,Intel UHD Graphics 620,1.63,i7,988.0
136,Lenovo,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 500,1.9,Dual Core,252.36
137,Asus,Gaming,17.3,2.5,8,SSD,128,Nvidia GeForce GTX 1050,3,i5,938.0
138,Lenovo,Notebook,15.6,2.5,4,HDD,1000,Nvidia GeForce 920MX,2.2,i5,499.0
139,HP,Notebook,13.3,2.5,4,SSD,256,Intel HD Graphics 620,1.32,i5,699.0
140,Acer,Notebook,17.3,2.7,4,HDD,1000,Nvidia GeForce MX130,3,i3,655.0
141,Lenovo,Notebook,14.0,1.6,8,SSD,256,AMD Radeon RX 550,1.75,i5,1116.02
142,Lenovo,Gaming,15.6,2.8,8,SSD,256,Nvidia GeForce GTX 1050M,2.4,i7,869.0
143,Toshiba,Notebook,15.6,2.3,4,HDD,500,Intel HD Graphics 520,2.1,i5,602.0
144,HP,Notebook,15.6,2.5,4,SSD,256,AMD Radeon R4,1.86,9220,369.0
145,Asus,Ultrabook,14.0,1.8,8,SSD,256,Intel UHD Graphics 620,1.25,i7,1099.0
146,HP,Ultrabook,12.5,1.2,8,SSD,512,Intel HD Graphics 515,0.97,M,2014.0
147,Asus,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 500,2,Dual Core,344.0
148,MSI,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1070,2.9,i7,2029.0
149,Acer,Notebook,15.6,2.0,4,HDD,1000,Intel HD Graphics 520,2.1,i3,447.0
150,Dell,Gaming,15.6,2.8,16,SSD,512,Nvidia GeForce GTX 1050,2.56,i7,1249.26
151,Dell,Gaming,15.6,2.8,8,Hybrid,1000,Nvidia GeForce GTX 1050,2.62,i7,899.0
152,Lenovo,Notebook,15.6,2.5,4,SSD,128,Intel HD Graphics 620,1.9,i5,498.0
153,MSI,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1060,2.8,i7,1890.0
154,HP,Ultrabook,14.0,2.7,4,SSD,256,Intel HD Graphics 620,1.48,i5,1082.0
155,HP,Notebook,15.6,1.6,6,SSD,256,AMD Radeon 520,1.91,i5,619.0
156,Lenovo,2 in 1 Convertible,14.0,2.4,4,SSD,256,Intel HD Graphics 620,1.74,i3,629.0
157,Asus,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel HD Graphics 620,1.1,i5,1315.0
158,Dell,2 in 1 Convertible,15.6,1.8,8,SSD,256,Intel UHD Graphics 620,1.56,i7,1049.0
159,Toshiba,Notebook,15.6,2.2,4,HDD,500,Intel HD Graphics 520,2.1,i3,447.0
160,Asus,Notebook,15.6,3.0,4,HDD,1000,AMD Radeon R5 M420,2.03,9420,403.0
161,Acer,Notebook,17.3,1.6,4,SSD,256,Nvidia GeForce MX150,3,i5,805.0
162,Dell,Notebook,15.6,1.6,8,SSD,256,AMD Radeon 520,2.13,i5,728.0
163,Lenovo,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1050Ti,2.5,i7,1079.0
164,Acer,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 500,2.1,Dual Core,348.0
165,MSI,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1060,2.4,i7,1799.0
166,Acer,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 505,2.1,Quad Core,363.51
167,Dell,Gaming,15.6,2.8,8,SSD,128,Nvidia GeForce GTX 1050,2.56,i7,1060.49
168,Acer,Notebook,17.3,1.6,8,SSD,256,Nvidia GeForce MX150,3,i5,854.0
169,HP,Notebook,13.3,1.6,4,HDD,500,Intel UHD Graphics 620,1.49,i5,754.0
170,Huawei,Ultrabook,13.0,2.5,8,SSD,256,Intel HD Graphics 620,1.05,i5,1349.0
171,HP,Notebook,17.3,2.5,6,HDD,2000,AMD Radeon 520,2.71,i5,699.0
172,Lenovo,Notebook,15.6,2.9,4,HDD,500,AMD Radeon R4,2.2,9220,309.0
173,Toshiba,Notebook,15.6,2.4,4,HDD,500,Intel HD Graphics 620,2,i3,489.0
174,HP,Notebook,17.3,1.6,8,SSD,256,Nvidia GeForce 930MX,2.5,i5,923.0
175,Dell,Notebook,15.6,2.4,8,HDD,1000,Intel HD Graphics 620,2.3,i3,459.0
176,Acer,Notebook,15.6,2.0,4,SSD,128,Intel HD Graphics 520,2.1,i3,449.0
177,MSI,Gaming,18.4,2.9,32,SSD,512,Nvidia GTX 980 SLI,4.4,i7,2799.0
178,Lenovo,Notebook,15.6,2.5,8,SSD,128,AMD R17M-M1-70,1.90,i5,813.0
179,HP,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.29,i5,1499.0
180,Dell,Notebook,15.6,1.8,16,SSD,256,AMD Radeon 530,2.02,i7,1049.0
181,Dell,Ultrabook,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.23,i5,1399.0
182,Lenovo,2 in 1 Convertible,13.9,1.8,16,SSD,512,Intel UHD Graphics 620,1.4,i7,1849.0
183,Toshiba,Notebook,15.6,2.5,8,SSD,128,Intel HD Graphics 620,2.0,i5,793.0
184,Xiaomi,Notebook,15.6,1.6,8,SSD,256,Nvidia GeForce MX150,1.95,i5,1199.0
185,Dell,Notebook,17.3,1.8,16,SSD,512,Nvidia GeForce 150MX,2.77,i7,1549.0
186,Lenovo,Gaming,15.6,2.5,8,SSD,256,Nvidia GeForce GTX 1050,2.4,i5,779.0
187,Acer,Ultrabook,13.3,1.2,8,SSD,256,Intel HD Graphics 615,1.12,i5,989.0
188,Dell,Notebook,17.3,1.8,8,SSD,128,AMD Radeon 530,2.8,i7,1085.0
189,Lenovo,2 in 1 Convertible,14.0,2.7,16,SSD,1000,Intel HD Graphics 620,1.42,i7,2821.2
190,Vero,Notebook,14.0,1.1,4,Flash Storage,32,Intel HD Graphics 500,1.3,Dual Core,260.0
191,Xiaomi,Ultrabook,13.3,2.5,8,SSD,256,Nvidia GeForce MX150,1.3,i5,999.9
192,Lenovo,Notebook,17.3,1.6,8,SSD,256,Nvidia GeForce MX150,2.8,i5,698.0
193,Dell,2 in 1 Convertible,13.3,1.8,8,HDD,1000,Intel UHD Graphics 620,1.62,i7,839.0
194,HP,Notebook,17.3,1.6,8,HDD,1000,Nvidia GeForce 930MX,2.5,i5,914.0
195,Razer,Gaming,17.3,2.9,32,SSD,1000,Nvidia GeForce GTX 1080,3.49,i7,2821.2
196,HP,Notebook,13.3,1.6,8,SSD,512,Intel UHD Graphics 620,1.49,i5,959.0
197,HP,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1050,3.35,i7,1379.0
198,HP,Notebook,17.3,1.8,8,SSD,256,Nvidia GeForce 930MX,2.5,i7,1045.0
199,Dell,Gaming,15.6,2.8,16,SSD,512,Nvidia GeForce GTX 1060,2.65,i7,1845.0
200,Lenovo,Notebook,15.6,2.3,4,SSD,128,Intel HD Graphics 520,2.1,i5,493.0
201,Acer,Notebook,15.6,2.7,8,HDD,1000,Nvidia GeForce 940MX,2.23,i7,742.0
202,Lenovo,Gaming,15.6,2.8,16,SSD,512,Nvidia GeForce GTX 1060,3.2,i7,1749.0
203,Lenovo,Gaming,15.6,2.8,16,SSD,512,Nvidia GeForce GTX 1060,2.4,i7,1398.0
204,Dell,Notebook,15.6,2.4,6,HDD,1000,Intel HD Graphics 620,2.3,i3,439.0
205,Dell,Ultrabook,13.3,1.8,8,SSD,256,Intel UHD Graphics 620,1.21,i7,1949.0
206,Dell,Ultrabook,13.3,1.8,8,SSD,256,Intel UHD Graphics 620,1.2,i7,1449.0
207,Lenovo,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,2.2,i5,597.0
208,Acer,Notebook,15.6,2.8,8,HDD,1000,Nvidia GeForce GTX 1050,2.4,i7,779.0
209,Asus,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1050,2.9,i7,1407.0
210,HP,Notebook,15.6,2.0,4,HDD,500,Intel HD Graphics 520,2.1,i3,349.0
211,Lenovo,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,2.2,i5,549.0
212,Huawei,Ultrabook,13.0,2.7,8,SSD,512,Intel HD Graphics 620,1.05,i7,1499.0
213,Dell,Ultrabook,13.3,1.8,8,SSD,256,AMD Radeon 530,1.4,i7,931.88
214,Lenovo,Notebook,17.3,2.5,8,HDD,1000,Nvidia GeForce GTX 940MX,2.8,i5,589.0
215,HP,Notebook,14.0,1.8,8,SSD,256,Nvidia GeForce 930MX,1.63,i7,1031.0
216,Dell,Ultrabook,14.0,1.6,8,SSD,256,Intel UHD Graphics 620,1.6,i5,1149.0
217,Dell,2 in 1 Convertible,13.3,1.8,16,SSD,512,Intel UHD Graphics 620,1.62,i7,1279.0
218,Dell,Notebook,15.6,1.6,8,SSD,256,AMD Radeon 520,2.2,i5,677.35
219,Lenovo,2 in 1 Convertible,14.0,1.6,8,SSD,256,Intel UHD Graphics 620,1.74,i5,899.0
220,Toshiba,Ultrabook,13.3,2.5,8,SSD,256,Intel HD Graphics 520,1.2,i7,1363.0
221,HP,Notebook,15.6,1.6,8,HDD,1000,Intel UHD Graphics 620,2.1,i5,794.0
222,Acer,Notebook,15.6,2.7,8,SSD,256,Nvidia GeForce 940MX,2.2,i7,832.0
223,Dell,Notebook,15.6,2.7,16,HDD,1000,AMD Radeon R7 M445,2.3,i7,859.01
224,Asus,Notebook,15.6,2.5,8,SSD,256,Nvidia GeForce 920MX,2,i5,769.0
225,Asus,Notebook,17.3,2.5,8,SSD,256,Nvidia GeForce GTX 950M,2.69,i5,891.0
226,HP,Notebook,15.6,2.7,8,HDD,1000,AMD FirePro W4190M,1.9,i7,1269.0
227,Asus,Notebook,15.6,2.4,4,HDD,1000,Intel HD Graphics 620,2.37,i3,398.99
228,HP,Notebook,15.6,1.5,4,HDD,500,AMD Radeon R2,2.1,9000e,330.0
229,Lenovo,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1060,3.2,i7,1499.0
230,Dell,Notebook,14.0,2.5,8,SSD,256,Intel HD Graphics 620,1.6,i5,859.0
231,Acer,2 in 1 Convertible,13.3,2.3,8,SSD,256,Intel HD Graphics 520,1.6,i5,689.0
232,Dell,Notebook,15.6,2.7,16,SSD,256,AMD Radeon R7 M445,2.36,i7,899.0
233,Acer,Notebook,15.6,2.0,4,HDD,1000,Intel HD Graphics 520,2.1,i3,390.0
234,Asus,Notebook,15.6,2.5,4,SSD,128,AMD Radeon R5 M430,2.2,A10-9620P,575.0
235,Asus,Gaming,17.3,2.9,32,SSD,512,Nvidia GeForce GTX 1080,4.7,i7,2821.2
236,Acer,Gaming,15.6,2.5,8,SSD,256,Nvidia GeForce GTX 1050,2.5,i5,846.0
237,Lenovo,Notebook,15.6,2.0,8,SSD,128,Intel HD Graphics 520,2.2,i3,589.0
238,Asus,Notebook,17.3,1.8,8,SSD,128,Nvidia GeForce 150MX,2.1,i7,1145.0
239,Asus,Notebook,17.3,2.7,8,SSD,128,Nvidia GeForce GTX 950M,2.69,i7,889.0
240,Dell,Gaming,15.6,2.5,8,SSD,256,Nvidia GeForce GTX 1050,2.56,i5,879.0
241,Lenovo,2 in 1 Convertible,13.9,2.7,8,SSD,256,Intel HD Graphics 620,1.38,i7,1079.0
242,Dell,Notebook,15.6,1.8,8,SSD,128,AMD Radeon 530,2.2,i7,985.0
243,HP,Notebook,15.6,2.5,8,HDD,1000,Intel HD Graphics 620,2.04,i5,559.0
244,Asus,Gaming,17.3,2.9,16,SSD,256,Nvidia GeForce GTX 1080,3.6,i7,2821.2
245,HP,Notebook,13.3,1.6,4,HDD,500,Intel UHD Graphics 620,1.49,i5,675.0
246,Apple,Ultrabook,13.3,3.1,8,SSD,512,Intel Iris Plus Graphics 650,1.37,i5,2040.0
247,Dell,2 in 1 Convertible,15.6,1.8,8,HDD,1000,Intel UHD Graphics 620,2.08,i7,819.0
248,Asus,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 980M,4.3,i7,1799.0
249,Asus,Notebook,15.6,3.0,4,HDD,1000,AMD Radeon R5 M420,1.68,9420,469.0
250,Lenovo,2 in 1 Convertible,13.9,1.8,8,SSD,512,Intel UHD Graphics 620,1.37,i7,1849.0
251,Acer,Notebook,17.3,2.7,4,SSD,256,Nvidia GeForce MX130,3,i3,702.0
252,Dell,Ultrabook,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.41,i5,949.0
253,HP,Notebook,15.6,2.5,8,SSD,128,AMD Radeon R4,1.91,A6-9220,445.9
254,HP,Notebook,17.3,1.8,16,HDD,1000,Nvidia GeForce MX150,2.9,i7,1059.0
255,MSI,Gaming,17.3,2.8,16,SSD,512,Nvidia GeForce GTX 1070,4.14,i7,2499.0
256,Lenovo,2 in 1 Convertible,15.6,2.8,8,SSD,512,Nvidia GeForce GTX 1050M,2,i7,1699.0
257,Dell,Notebook,17.3,1.8,8,SSD,128,AMD Radeon 530,2.8,i7,1142.0
258,Lenovo,Notebook,15.6,2.0,4,SSD,256,Intel HD Graphics 520,2.2,i3,444.0
259,HP,Notebook,15.6,1.6,4,HDD,500,Intel HD Graphics 620,2.1,i5,722.0
260,Dell,Notebook,15.6,2.5,4,HDD,1000,Intel HD Graphics 620,2.18,i5,657.0
261,Dell,Notebook,15.6,2.5,8,HDD,1000,AMD Radeon R5 M430,2.24,i5,565.0
